GUN.AZ — ФИНАЛЬНАЯ ТАБЛИЦА ПАРСИНГА | 158 продуктов | 2-3 бренда на ключевые | Средняя цена,,,,,,,,,,,,,,,,,,,,,,,,,,
"Публикуем СРЕДНЮЮ цену по брендам. Бренды — внутренняя кухня. Пользователь видит: «Süd 2.5%, 1L — 2.59₼» без бренда.",,,,,,,,,,,,,,,,,,,,,,,,,,
№,Кат.,Продукт (RU),Məhsul (AZ),Вид,Ед.,П,Бренд 1 (Wolt),Бренд 1 (Wolt) url,Бренд 1 (Bravo),Бренд 1 (Bravo) url,Бренд 1 (Neptun),Бренд 1 (Neptun) url,Бренд 2 (Wolt),Бренд 2 (Wolt) url,Бренд 2 (Bravo),Бренд 2 (Bravo) url,Бренд 2 (Neptun),Бренд 2 (Neptun) url,Бренд 3 (Wolt),Бренд 3 (Wolt) url,Бренд 3 (Bravo),Бренд 3 (Bravo) url,Бренд 3 (Neptun),Бренд 3 (Neptun) url,Источник,Правило замены
71,🥬 Овощи,Баклажан,Badımcan,Свежий,1 кг,🟡,"Badımcan Dolma kq
",https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/badimcan-dolma-kq-itemid-6286045c2405a24d190fac33,"Badımcan 1kq 2391
",https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-20-yanvar/badimcan-1kq-2391-itemid-972b0fc36f402ffaf62d2134,"Badımcan kq
",https://wolt.com/ru/aze/baku/venue/neptun-supermarket-3-mkr/badimcan-kq-itemid-b6ba02a51356984a69edbb97,—,,,,,,—,,,,,,Wolt Market,
72,🥬 Овощи,Кабачок,Balqabaq,Свежий,1 кг,🟢,"Balqabaq Borani ədəd
",https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/balqabaq-borani-eded-itemid-381bd8c33be4afc4a2e3c792,"Balqabaq Mini kq
",https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-20-yanvar/balqabaq-mini-kq-itemid-c4cc608c532b6cce33888459,"Balqabaq kq
",https://wolt.com/ru/aze/baku/venue/neptun-supermarket-28/balqabaq-kq-itemid-89f447b18ebe68dc8c5b9cb5,—,,,,,,—,,,,,,Wolt Market,
73,🥬 Овощи,Свёкла,Çuğundur,Столовая,500 г,🟢,"Çuğundur 500q
",https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/cugundur-500q-itemid-64c809c939314a3fcfec73bf,"Cuğundur 1kq 2863
",https://wolt.com/ru/aze/baku/venue/bravo-superstore-28-mall/cugundur-1kq-2863-itemid-178af723714417e192a9cd6a,"Çuğundur kq
",https://wolt.com/ru/aze/baku/venue/neptun-supermarket-28/cugundur-kq-itemid-8a2823a58d2df71e3ac9b20c,—,,,,,,—,,,,,,Wolt Market,
74,🥬 Овощи,Чеснок,Sarımsaq,Головки,3 ed (eded),🟡,"Sarımsaq (3 ədəd)

",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/sarimsaq-3-eded-itemid-679747c0c59beb1eed193e10,"Sarımsaq Paketlə 1 kq
",https://wolt.com/ru/aze/baku/venue/bravo-superstore-28-mall/sarimsaq-paketle-1-kq-itemid-6abb29bc67116509afe99beb,"MVT Sarımsaq kq
",https://wolt.com/ru/aze/baku/venue/neptun-supermarket-28/mvt-sarimsaq-kq-itemid-78f325a8c442367f3e8a607c,—,,,,,,—,,,,,,Wolt Market,
75,🥬 Овощи,Перец острый,Acı bibər,Зелёный,250 г,🟢,"Bibər Acı 250q
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/biber-aci-250q-itemid-679747c0c59beb1eed193da8,"Bibər Acı 1kq 5438
",https://wolt.com/ru/aze/baku/venue/bravo-superstore-28-mall/biber-aci-1kq-5438-itemid-ebe4c43eb4edc9bb8a299eed,"Bibər Acı kq
",https://wolt.com/ru/aze/baku/venue/neptun-supermarket-28/biber-aci-kq-itemid-4d2bc3aa27b2fadefe5455b6,—,,,,,,—,,,,,,Wolt Market,
76,🥬 Овощи,Редис,Turp,Красная,1 пуч,🟢,"Turp dəstə
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/turp-deste-itemid-679747c0c59beb1eed193dfa,"Turp Qırmızı kq
",https://wolt.com/ru/aze/baku/venue/bravo-superstore-28-mall/turp-qirmizi-kq-itemid-dbbb2bf97781f789b25ef606,"MVT Turp Qırmızı kq
",https://wolt.com/ru/aze/baku/venue/market11/mvt-turp-qirmizi-kq-itemid-4913fee05236c1a45a3a1e90,—,,,,,,—,,,,,,Wolt Market,Сезонный
77,🥬 Овощи,Тыква,Balqabaq şirin,Столовая,1 кг,🟢,—,,,,,,—,,,,,,—,,,,,,Поручить,Сезонный осень
78,🥬 Овощи,Салат,Kahı,Айсберг,1 шт,🟢,"Aysberq Salat ədəd
",https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/aysberq-salat-eded-itemid-798ab4c0cf0c8968e24f435a,"Kahı Ayzberq 1kq 2726
",https://wolt.com/ru/aze/baku/venue/bravo-superstore-genclik-mall/kahi-ayzberq-1kq-2726-itemid-c300ad6af25657e8469429c8,"Kələm Aysberq kq
",https://wolt.com/ru/aze/baku/venue/market11/kelem-aysberq-kq-itemid-737d62ea8272a667eb33bc0b,—,,,,,,—,,,,,,Wolt Market,
79,🥬 Овощи,Шампиньоны,Göbələk,Свежие,500 г,🟡,"Göbələk 500q
",https://wolt.com/ru/aze/baku/venue/wolt-market-khaglar/gobelek-500q-itemid-81ca08212ccaf5b002d4b1d7,"Göbələk Zirə 500qr
",https://wolt.com/ru/aze/baku/venue/bravo-superstore-genclik-mall/gobelek-zire-500qr-itemid-077e6bcee070b16bf3e30a7e,MVT Zirə Məhsul 500 qr Göbələk Şampinyonlar,https://wolt.com/ru/aze/baku/venue/market11/mvt-zire-mehsul-500-qr-gobelek-sampinyonlar-itemid-7dc1383667d48340aff6d521,—,,,,,,—,,,,,,Wolt Market,
80,🥬 Овощи,Кукуруза,Qarğıdalı,Початок,1 шт,🟢,—,,,,,,—,,,,,,—,,,,,,Поручить,Сезонный лето
81,🥬 Овощи,Имбирь,Zəncəfil,Корень,500 г,🟢,"Zəncəfil 500q
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/zencefil-500q-itemid-679747c0c59beb1eed193e0e,"Zəncəfil 1kq 2547
",https://wolt.com/ru/aze/baku/venue/bravo-superstore-genclik-mall/zencefil-1kq-2547-itemid-e7284286e07146d3a98929f8,"Zəncəfil (İmbir) kq
",https://wolt.com/ru/aze/baku/venue/market11/zencefil-imbir-kq-itemid-3b9eca867f7c562e187995c6,—,,,,,,—,,,,,,Wolt Market,
82,🥬 Овощи,Авокадо,Avokado,Свежий,1 шт,🟢,"Avokado ədəd
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/avokado-eded-itemid-679747c1c59beb1eed194a72,"Avokado kq 2541

",https://wolt.com/ru/aze/baku/venue/bravo-superstore-genclik-mall/avokado-kq-2541-itemid-2cc4bc5f0370e3988ef7da40,"Avokado Ədəd
",https://wolt.com/ru/aze/baku/venue/market11/avokado-eded-itemid-bc481fb53abf5464a13d1888,—,,,,,,—,,,,,,Wolt Market,
83,🌿 Зелень,Кинза,Keşniş,Пучок,1 пуч,🟡,Keşniş dəstə,https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/kesnis-deste-itemid-62f11851ddeed1e00ba7fbc6,"Göyərti Keşniş
",https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-koroglu/goyerti-kesnis-itemid-196f190a56a11469d91095ae,"Göyərti
",https://wolt.com/ru/aze/baku/venue/market11/goyerti-itemid-5a09d4fa5b6ce8b5e24abbf1,—,,,,,,—,,,,,,Wolt Market,
84,🌿 Зелень,Укроп,Şüyüd,Пучок,1 пуч,🟢,Şüyüd dəstə,https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/suyud-deste-itemid-62f11851ddeed1e00ba7fbc7,"Göyərti Şüyüd
",https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-koroglu/goyerti-suyud-itemid-777c98fac0f4ed281e09cd3b,"Göyərti
",https://wolt.com/ru/aze/baku/venue/market11/goyerti-itemid-5a09d4fa5b6ce8b5e24abbf1,—,,,,,,—,,,,,,Wolt Market,
85,🌿 Зелень,Петрушка,Cəfəri,Пучок,1 пуч,🟢,Cəfəri dəstə,https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/ceferi-deste-itemid-62f11851ddeed1e00ba7fbcb,Göyərti (Seçim ilə),https://wolt.com/az/aze/baku/venue/bravo-supermarket-azure/goyerti-secim-ile-itemid-1b299585beadeebd4d3ce4ff,"Göyərti
",https://wolt.com/ru/aze/baku/venue/market11/goyerti-itemid-5a09d4fa5b6ce8b5e24abbf1,—,,,,,,—,,,,,,Wolt Market,
86,🌿 Зелень,Мята,Nanə,Пучок,1 пуч,🟢,Nanə dəstə,https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/nane-deste-itemid-62f11851ddeed1e00ba7fbc9,Göyərti (Seçim ilə),https://wolt.com/az/aze/baku/venue/bravo-supermarket-azure/goyerti-secim-ile-itemid-1b299585beadeebd4d3ce4ff,Göyərti,https://wolt.com/ru/aze/baku/venue/market11/goyerti-itemid-5a09d4fa5b6ce8b5e24abbf1,—,,,,,,—,,,,,,Wolt Market,
87,🌿 Зелень,Рейхан,Reyhan,Пучок,1 пуч,🟢,Wolt Market ReyhanReyhan Qırmızı dəstə,https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/reyhan-qirmizi-deste-itemid-62f11851ddeed1e00ba7fbc5,"Göyərti Reyhan
",https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-koroglu/goyerti-reyhan-itemid-6c933c96d5f4fb9a6926dd9f,Göyərti,https://wolt.com/ru/aze/baku/venue/market11/goyerti-itemid-5a09d4fa5b6ce8b5e24abbf1,—,,,,,,—,,,,,,Wolt Market,
88,🍎 Фрукты,Яблоки,Alma,Местные,1 кг,🔴,"Alma Qala kq
",https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/alma-qala-kq-itemid-632bf3f2854b435da364ddc2,"Alma Qala kq 7200
",https://wolt.com/ru/aze/baku/venue/bravo-superstore-genclik-mall/alma-qala-kq-7200-itemid-ab9456d929238155bb6973d9,"MVT Alma Qala Yerli kq
",https://wolt.com/ru/aze/baku/venue/market11/mvt-alma-qala-yerli-kq-itemid-f44ddd9d2fe620c893c8beba,Bravo (по весу),,,,,,—,,,,,,2 магазина → средняя,
89,🍎 Фрукты,Бананы,Banan,Cavendish,1 кг,🔴,"Banan kq
",https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/banan-kq-itemid-6286045c2405a24d190fac10,"Banan kq 2504
",https://wolt.com/ru/aze/baku/venue/bravo-superstore-genclik-mall/banan-kq-2504-itemid-c782c287e57c3395c4039a8b,"Banan kq
",https://wolt.com/ru/aze/baku/venue/market11/banan-kq-itemid-7301878623223d9fa8e8bb9d,Bravo (по весу),,,,,,—,,,,,,2 магазина → средняя,"Всегда импорт, один вид"
90,🍎 Фрукты,Апельсины,Portağal,Обычные,1 шт,🟡,"Portağal Türk ədəd
",https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/portagal-turk-eded-itemid-643567b686fd57396d2a158f,"Portağal kq
",https://wolt.com/ru/aze/baku/venue/bravo-superstore-genclik-mall/portagal-kq-itemid-1c26deabc5bca187e2b27cc3,"MVT Portağal Türk

",https://wolt.com/ru/aze/baku/venue/neptun-supermarket-khirdalan/mvt-portagal-turk-itemid-b1cf6fd6ad7ae26d3d0676c6,—,,,,,,—,,,,,,Wolt Market,
91,🍎 Фрукты,Лимон,Limon,Обычный,90 г,🟡,"Limon ədəd
",https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/limon-eded-itemid-6286045c2405a24d190fac12,"Limon Afrika kq
",https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-20-yanvar/limon-afrika-kq-itemid-1430a21797ca7f76860dc760,"MVT Limon kq
",https://wolt.com/ru/aze/baku/venue/neptun-supermarket-khirdalan/mvt-limon-kq-itemid-ec461348adba130b28d5b521,—,,,,,,—,,,,,,Wolt Market,
92,🍎 Фрукты,Мандарины,Mandarin,Обычные,1 кг,🟡,"Mandarin kq
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/mandarin-kq-itemid-679747c1c59beb1eed194a92,"Mandarin Murkot
",https://wolt.com/ru/aze/baku/venue/bravo-hypermarket-20-yanvar/mandarin-murkot-itemid-5a30198da0bba81f04de6aaf,"MVT Mandarin Yerli kq
",https://wolt.com/ru/aze/baku/venue/market11/mvt-mandarin-yerli-kq-itemid-413ef91e45d0cb1970b252dc,—,,,,,,—,,,,,,Wolt Market,Сезон ноя-фев
93,🍎 Фрукты,Гранат,Nar,Свежий,1 кг,🔴,"Nar (Göyçay) kq
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/nar-goycay-kq-itemid-679747c1c59beb1eed194a52,"Nar Super kq

",https://wolt.com/ru/aze/baku/venue/bravo-superstore-genclik-mall/nar-super-kq-itemid-4412192d00663e3ddaadadee,"MVT Nar kq
",https://wolt.com/ru/aze/baku/venue/market11/mvt-nar-kq-itemid-9d23b1c834c62bc42ae82d48,Bravo (по весу),,,,,,—,,,,,,2 магазина → средняя,Сезон окт-янв. Вне сезона → пауза
94,🍎 Фрукты,Виноград,Üzüm,Белый,500 г,🟡,"Üzüm Ağ Yerli 500q
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/uzum-ag-yerli-500q-itemid-679746c26076986de641d7c8,товар не представлен,,"Üzüm Ağ kq
",https://wolt.com/ru/aze/baku/venue/neptun-supermarket-28/uzum-ag-kq-itemid-7f2de90cb6ceed8cc7e3356c,—,,,,,,—,,,,,,Wolt Market,Сезонный
95,🍎 Фрукты,Хурма,Xurma,Королёк,1 кг,🟢,Wolt Market (по весу),,,,,,—,,,,,,—,,,,,,Wolt Market,Сезон окт-дек
96,🍎 Фрукты,Груша,Armud,Свежая,1 кг,🟢,"Armud Meşə Gözəli kq
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/armud-mese-gozeli-kq-itemid-679747c1c59beb1eed194a34,"Armud Meşə Gözəli kq 3242
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/armud-mese-gozeli-kq-3242-itemid-fac1021f932fe2013678d71d,"MVT Armud Bildirçin kq
",https://wolt.com/ru/aze/baku/venue/market11/mvt-armud-bildircin-kq-itemid-9efb1220a38ce06032a92ac0,—,,,,,,—,,,,,,Wolt Market,
97,🍎 Фрукты,Персик,Şaftalı,Свежий,1 кг,🟢,Wolt Market (по весу),,,,,,—,,,,,,—,,,,,,Wolt Market,Лето
98,🍎 Фрукты,Слива,Gavalı,Свежая,1 кг,🟢,—,,,,,,—,,,,,,—,,,,,,Поручить,Сезонный
99,🍎 Фрукты,Клубника,Çiyələk,Свежая,500 г,🟡,"Çiyələk 500q
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/ciyelek-500q-itemid-679747c1c59beb1eed194a68,товар не представлен,,товар не представлен,,—,,,,,,—,,,,,,Wolt Market,Зимой импорт=дорого
100,🍎 Фрукты,Арбуз,Qarpız,Целый,1 кг,🟢,"Qarpız (Braziliya) ədəd
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/qarpiz-braziliya-eded-itemid-f25401e23468dedf269e39ac,товар не представлен,,товар не представлен,,—,,,,,,—,,,,,,Поручить,Лето
101,🍎 Фрукты,Дыня,Yemiş,Целая,1 кг,🟢,—,,,,,,—,,,,,,—,,,,,,Поручить,Лето
102,🍎 Фрукты,Киви,Kivi,Обычный,500 г,🟢,"Kivi 500q
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/kivi-500q-itemid-679747c1c59beb1eed194a70,"Kivi Super kq
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/kivi-super-kq-itemid-89c292ea174fc5548462655f,"MVT Kivi Super kq
",https://wolt.com/ru/aze/baku/venue/neptun-supermarket-narimanovv/mvt-kivi-super-kq-itemid-adaa06c4dba1beef10910140,—,,,,,,—,,,,,,Wolt Market,
103,🍇 Орехи,Грецкий орех,Qoz,Очищенный,200 г,🟡,"Ləziz Çərəz Qoz Ləpəsi 200q
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/leziz-cerez-qoz-lepesi-200q-itemid-5b74361774c20647b282b073,"Ləziz Çərəz Qoz Ləpəsi 200q
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/leziz-cerez-qoz-lepesi-200q-itemid-e89653cefd8f372050b15ee7,"Çərəz Qoz Ləpəsi Qırğız VIP kq
",https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/cerez-qoz-lepesi-qirgiz-vip-kq-itemid-85417568c85bf22b83098bd8,—,,,,,,—,,,,,,Поручить,Quru Meyvə или Çərəz
104,🍇 Орехи,Фундук,Fındıq,Очищенный,300 г,🟡,"Ləziz Çərəz Fındıq Ləpəsi 300q
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/leziz-cerez-findiq-lepesi-300q-itemid-679747c1c59beb1eed194f22,Ləziz Çərəz Fındıq Ləpəsi 300q,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/leziz-cerez-findiq-lepesi-300q-itemid-d80ec0cd4b3bb1f701656cbc,"Çərəz Fındıq Ləpə Xaçmaz XS kq
",https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/cerez-findiq-lepe-xacmaz-xs-kq-itemid-d5fdced8ed726dcb0b9d33ce,—,,,,,,—,,,,,,Поручить,АЗ — экспортёр
105,🍇 Орехи,Миндаль,Badam,Очищенный,300 г,🟢,"Ləziz Çərəz Badam Ləpəsi 300q
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/leziz-cerez-badam-lepesi-300q-itemid-679747c1c59beb1eed194f30,"Ləziz Çərəz Badam Ləpəsi 300qr
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/leziz-cerez-badam-lepesi-300qr-itemid-5bd7e0aa3b71d887cfc14df3,"MVT Badam kq
",https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/mvt-badam-kq-itemid-b4229ab2ae8e4eae0eaa9b1c,—,,,,,,—,,,,,,Поручить,
106,🍇 Орехи,Фисташки,Püstə,Солёные,250 г,🟢,"Ləziz Çərəz Püstə İran 250q
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/leziz-cerez-puste-iran-250q-itemid-679747c1c59beb1eed194f32,"Ləziz Çərəz Püstə İran 250q
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/leziz-cerez-puste-iran-250q-itemid-f7f2190bde337145c3c8c0a8,"Çərəz Püstə İran N-11 Əhmədağayi kq
",https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/cerez-puste-iran-n-11-ehmedagayi-kq-itemid-d25d6de78d10794a1c92f45c,—,,,,,,—,,,,,,Поручить,
107,🍇 Орехи,Курага,Quru ərik,Сушёная,350 г,🟢,"Ləziz Çərəz Sarı Ərik Qurusu 350q
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/leziz-cerez-sari-erik-qurusu-350q-itemid-679747c1c59beb1eed194f1c,"Ləziz Çərəz Ərik Sarı 350qr
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/leziz-cerez-erik-sari-350qr-itemid-0277c33455c1d1c9f7fc0bff,"Cer. Ərik Qurusu Turk N-1 kq
",https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/cer-erik-qurusu-turk-n-1-kq-itemid-12bd479a9e39b4f6c8e7c65a,—,,,,,,—,,,,,,Поручить,
108,🍇 Орехи,Изюм,Kişmiş,Кишмиш,300 г,🟡,"Ləziz Çərəz Kişmiş Sarı 300q
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/leziz-cerez-kismis-sari-300q-itemid-679747c1c59beb1eed194f24,"Ləziz Çərəz Kişmiş Sarı 300q
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/leziz-cerez-kismis-sari-300q-itemid-c7f1bca9983538c13fd9febf,"Çərəz Kişmiş Sarı İran N-1 kq
",https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/cerez-kismis-sari-iran-n-1-kq-itemid-b70c7381fa37b43f2cc5cee8,—,,,,,,—,,,,,,Поручить,
109,🍇 Орехи,Финики,Xurma quru,Сушёные,350 г,🟢,"Ləziz Çərəz Xurma İran 350q
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/leziz-cerez-xurma-iran-350q-itemid-50aa7e7661362fbbaf47081d,"Leziz Çərəz Xurma Iran 350qr
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/leziz-cerez-xurma-iran-350qr-itemid-fbdf311bd474b84c7c96b2a5,"Xurma Nurlan İran kq
",https://wolt.com/ru/aze/baku/venue/market11/xurma-nurlan-iran-kq-itemid-c8ef2d5c3d2cd0485a5da0ef,"Ləziz Çərəz Xurma Mədinə 350q
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/leziz-cerez-xurma-medine-350q-itemid-679747c1c59beb1eed194f2a,Leziz Çərəz Xurma Medine 350qr,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/leziz-cerez-xurma-medine-350qr-itemid-6ac56a0c43a192b969d25a73,"Çərəz Xurma Medine kq
",https://wolt.com/ru/aze/baku/venue/market11/cerez-xurma-medine-kq-itemid-a46491e9e49d1d90d2e537fc,—,,,,,,Поручить,
110,🍇 Орехи,Чернослив,Quru gavalı,Сушёный,350 г,🟢,"Ləziz Çərəz Qara Gavalı 350q
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/leziz-cerez-qara-gavali-350q-itemid-e92a0305658f5e87dabfba96,"Ləziz Çərəz Qara Gavalı 350q
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/leziz-cerez-qara-gavali-350q-itemid-cb69053bfc004c5c3fb5b554,Çərəz Gavalı Yerli N-4 Tumsuz kq,https://wolt.com/ru/aze/baku/venue/market11/cerez-gavali-yerli-n-4-tumsuz-kq-itemid-d9418d2a365c71b6734042df,—,,,,,,—,,,,,,Поручить,
111,🍇 Орехи,Семечки,Günəbaxan tumu,Жареные,100 г,🟢,"Çiko Duzlu Qara İldırım 100q
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/ciko-duzlu-qara-ildirim-100q-itemid-679747c1c59beb1eed194f66,Ciko Duzlu Ildirim Günəbaxan Tumu 100qr,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/ciko-duzlu-ildirim-gunebaxan-tumu-100qr-itemid-cb521bea658591930cb2acef,Çiko Qara Günəbaxan Tumu 100 qr,https://wolt.com/ru/aze/baku/venue/market11/ciko-qara-gunebaxan-tumu-100-qr-itemid-8e62dca86bdb35e435a7f8d6,—,,,,,,—,,,,,,Поручить,
112,🍇 Орехи,Лавашана,Lavashana,Фрукт. пастила,200 г,🟢,—,,,,,,—,,,,,,—,,,,,,Поручить,ABAD Məhsulları раздел
113,🧂 Бакалея,Сахар,Şəkər,Белый песок,800 г,🔴,"Richmond Şəkər Tozu 800q
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/richmond-seker-tozu-800q-itemid-679747c0c59beb1eed1939ea,"Richmond Şəkər Tozu 800qr
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/richmond-seker-tozu-800qr-itemid-2af4e6efac7ffc7f7b57c24d,"Richmond Şəkər Tozu 800 qr
",https://wolt.com/ru/aze/baku/venue/market11/richmond-seker-tozu-800-qr-itemid-39ec3078ec543790098636ab,"AzərŞəkər Şəkər Tozu 700q
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/azerseker-seker-tozu-700q-itemid-679747c0c59beb1eed1939da,"Azərşəkər Toz Şəkər 700qr
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/azerseker-toz-seker-700qr-itemid-59f5a9d57c6d11e10b7371eb,"Azər Şəkər 700 qr Şəkər Tozu
",https://wolt.com/ru/aze/baku/venue/market11/azer-seker-700-qr-seker-tozu-itemid-35a003e45294d0f9e8ef9e57,—,,,,,,2 магазина → средняя,Без бренда
114,🧂 Бакалея,Соль,Duz,Поваренная,1 кг,🟢,"Salute Xörək Duzu 1kq
",https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/salute-xorek-duzu-1kq-itemid-9231bd9b22cc7c1b91500b72,"Salute Xörək Duzu 1kq Qutuda
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/salute-xorek-duzu-1kq-qutuda-itemid-0278b67d9448f52713f1babe,"Salute Xörək Duzu 1 kq
",https://wolt.com/ru/aze/baku/venue/market11/salute-xorek-duzu-1-kq-itemid-19595127d0f5383dd8376ca8,—,,,,,,—,,,,,,Wolt Market,
115,🧂 Бакалея,Чай чёрный,Çay,Чёрный,100 г,🔴,"Azərçay Buket 100q
",https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/azercay-buket-100q-itemid-6262469525df9c8a7a9406d6,"Azərçay Buket 100qr Qutu
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/azercay-buket-100qr-qutu-itemid-813b03695283fe2bae91026f,"Azər Çay Buket Çay Qutu 100 qr
",https://wolt.com/ru/aze/baku/venue/market11/azer-cay-buket-cay-qutu-100-qr-itemid-7a947ecd2a3680a22bf2f0d7,"Berqa Qara Çay 100q
",https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/berqa-qara-cay-100q-itemid-656d8ef0d50bd8754db31277,Berqa Breakfast Qara Çay 100qr Qutuda,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/berqa-breakfast-qara-cay-100qr-qutuda-itemid-9d31ee50bb925ce01a7469e8,Berqa English Breakfast Qara Çay 100 qr,https://wolt.com/ru/aze/baku/venue/market11/berqa-english-breakfast-qara-cay-100-qr-itemid-f192d9fa6bc4860944a45b40,—,,,,,,Wolt Market,"Azersun=62%, Beta=32% рынка. 2 бренда = весь рынок"
116,🧂 Бакалея,Чай зелёный,Yaşıl çay,Листовой,100 г,🟢,"Azərçay Yaşıl Çay 100q
",https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/azercay-yasil-cay-100q-itemid-656d8ef0d50bd8754db3126c,"Azərçay Yaşıl Çay 100 qr Qutu
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/azercay-yasil-cay-100-qr-qutu-itemid-bf130703cdf1e0219f23ac2d,"Azər Çay Yaşıl Çay 100 qr
",https://wolt.com/ru/aze/baku/venue/market11/azer-cay-yasil-cay-100-qr-itemid-e892bb70446fc834e7f1a979,"Berqa Yaşıl Çay Jasmin 100q
",https://wolt.com/ru/aze/baku/venue/wolt-market-landmark/berqa-yasil-cay-jasmin-100q-itemid-677be061881fc5b647187ae1,Berqa Jasminli Yaşıl Çay 100qr Qutuda,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/berqa-jasminli-yasil-cay-100qr-qutuda-itemid-ff69faa0031a40efc5a150b9,Berqa 100 qr English Breakfast Yaşıl Çay Yasəmən,https://wolt.com/ru/aze/baku/venue/market11/berqa-100-qr-english-breakfast-yasil-cay-yasemen-itemid-427a274273a4176cebc27700,—,,,,,,Wolt Market,
